PDF Field,CRM Field
"Name","firstname, lastname"
"DOB","birthday"
"SSN",""
"Claim Number",""
"Department","federalagency"
"Location","businessAddress.city, businessAddress.state, businessAddress.postalcode"
"Beneficiary 1",""
"Beneficiary 1.0",""
"Beneficiary 1.0.0",""
"Beneficiary 1.0.1",""
"Beneficiary 1.0.1.0",""
"Beneficiary 1.0.1.1",""
"Beneficiary 1.0.1.1.0",""
"Address 1",""
"Address 1.0",""
"Address 1.0.0",""
"Address 1.0.1",""
"Address 1.0.1.0",""
"Address 1.0.1.1",""
"Address 1.0.1.1.0",""
"Relationship 1",""
"Relationship 1.0",""
"Relationship 1.0.0",""
"Relationship 1.0.1",""
"Relationship 1.0.1.0",""
"Relationship 1.0.1.1",""
"Relationship 1.0.1.1.0",""
"Share 1",""
"Share 1.0",""
"Share 1.0.0",""
"Share 1.0.1",""
"Share 1.0.1.0",""
"Share 1.0.1.1",""
"Share 1.0.1.1.0",""
"date of designation",""
"Your Signature",""
"date rec'd by agency",""
"Agency Signature",""
"date signed by agency certifier",""
"Return address","homeAddress.line1, homeAddress.city, homeAddress.state, homeAddress.postalcode"
"COPIES",""
"Print",""
"Save",""
"Clear",""
"Witness Signature2",""
"Witness address2",""
"Witness Signature1",""
"Witness address1",""
"Type",""
"Retirement System",""
