PDF Field,CRM Field
"Name","@full_name_last_first"
"DOB","@birthday"
"SSN","ssn"
"Claim Number","claimnumber"
"Department","@agency_name"
"Location","@agency_location"
"Beneficiary 1",""
"Beneficiary 1.0",""
"Beneficiary 1.0.0","@beneficiary_1_name"
"Beneficiary 1.0.1",""
"Beneficiary 1.0.1.0","@beneficiary_2_name"
"Beneficiary 1.0.1.1",""
"Beneficiary 1.0.1.1.0","@beneficiary_3_name"
"Address 1",""
"Address 1.0",""
"Address 1.0.0","@beneficiary_1_address"
"Address 1.0.1",""
"Address 1.0.1.0","@beneficiary_2_address"
"Address 1.0.1.1",""
"Address 1.0.1.1.0","@beneficiary_3_address"
"Relationship 1",""
"Relationship 1.0",""
"Relationship 1.0.0","@beneficiary_1_relationship"
"Relationship 1.0.1",""
"Relationship 1.0.1.0","@beneficiary_2_relationship"
"Relationship 1.0.1.1",""
"Relationship 1.0.1.1.0","@beneficiary_3_relationship"
"Share 1",""
"Share 1.0",""
"Share 1.0.0","@beneficiary_1_share"
"Share 1.0.1",""
"Share 1.0.1.0","@beneficiary_2_share"
"Share 1.0.1.1",""
"Share 1.0.1.1.0","@beneficiary_3_share"
"date of designation",""
"Your Signature",""
"date rec'd by agency",""
"Agency Signature",""
"date signed by agency certifier",""
"Return address","@return_address"
"COPIES",""
"Print",""
"Save",""
"Clear",""
"Witness Signature2",""
"Witness address2","witnessaddress2"
"Witness Signature1",""
"Witness address1","witnessaddress1"
"Type","@employee_type_retired"
"Retirement System","@retirement_system_fers"
